,name,description
143,PNPUTIL,Plug and Play Utility
144,POPD,Return to a previous directory saved by PUSHDʥ
145,PORTQRY,Display the status of ports and services
146,POWERCFG,Configure power settings
147,PRINT,Print a text file
148,PRINTBRM,Print queue Backup/Recovery
149,PRNCNFG,Configure a printer
150,PRNDRVR,"Add, delete or list print drivers."
151,PRNJOBS,"Pause, resume, cancel, or list print jobs."
152,PRNMNGR,"Add, delete, or list printer connections."
153,PRNPORT,"Manage Printer Ports, change port configuration."
154,PRNQCTL,"Manage Print Queues, print a test page."
155,ProcDump,Monitor an application for CPU spikes
156,PROMPT,Change the command promptʥ
157,PsExec,Execute process remotely
158,PsFile,Show files opened remotely
159,PsGetSid,Display the SID of a computer or a user
160,PsInfo,List information about a system
161,PsKill,Kill processes by name or process ID
162,PsList,List detailed information about processes
163,PsLoggedOn,Who's logged on (locally or via resource sharing)
164,PsLogList,Event log records
165,PsPasswd,Change account password
166,PsPing,Measure network performance
167,PsService,View and control services
168,PsShutdown,Shutdown or reboot a computer
169,PsSuspend,Suspend processes
170,PUSHD,Save and then change the current directoryʥ
171,QPROCESS,Query Process Display processes
172,QWinsta,Query Session Display all sessions (TS/Remote Desktop)
173,QAppSrv,Query TermServer List all servers (TS/Remote Desktop)
174,QUSER,Query User Display user sessions (TS/Remote Desktop)
175,RASDIAL,Manage RAS connections
176,RASPHONE,Manage RAS connections
177,RD,Delete a Directoryʥ
178,RECOVER,Recover a damaged file from a defective disk
179,REG,"Registry: Read, Set, Export, Delete keys and values"
180,REGEDIT,Import or export registry settings
181,REGSVR32,Register or unregister a DLL
182,REGINI,Change Registry Permissions
183,REM,Record comments (remarks) in a batch fileʥ
184,REN,Rename a file or filesʥ
185,REPLACE,Replace or update one file with another
186,Reset Session,Delete a Remote Desktop Session
187,RMDIR,Delete a Directoryʥ
188,RMTSHARE,Share a folder or a printer
189,ROBOCOPY,Robust File and Folder Copy
190,ROUTE,Manipulate network routing tables
191,RUN,Start | RUN commands
192,RUNAS,Execute a program under a different user account
193,RUNDLL32,Run a DLL command (add/remove print connections)
194,SC,Service Control
195,SCHTASKS,Schedule a command to run at a specific time
196,ScriptRunner,Run one or more scripts in sequence
197,SET,"Display, set, or remove session environment variablesʥ"
198,SETLOCAL,Control the visibility of environment variablesʥ
199,SetObjectSecurity,"Set  security  for  an object (file, directory, reg key etc)."
200,SetSPN,Edit Service Principal Names
201,SETX,Set environment variables
202,SFC,System File Checker
203,SHARE,List or edit a file share or print share
204,ShellRunAs,Run a command under a different user account
205,SHIFT,Shift the position of batch file parametersʥ
206,SHORTCUT,Create a windows shortcut (.LNK file)
207,SHUTDOWN,Shutdown the computer
208,SIGCHECK,Display file version no. VirusTotal status & timestamp
209,SLEEP,Wait for x seconds
210,SLMGR,Software Licensing Management
211,SORT,Sort input
212,SSH,OpenSSH remote login client
213,START,"Start a program, command or batch fileʥ"
214,STRINGS,Search for ANSI and UNICODE strings in binary files
215,SUBINACL,"Edit file and folder Permissions, Ownership and Domain"
216,SUBST,Associate a path with a drive letter
217,SXSTRACE,Diagnose side-by-side problems
218,SYSMON,Monitor and log system activity to the Windows event log
219,SYSTEMINFO,List system configuration
220,TAKEOWN,Take ownership of a file
221,TAR,"Store, list or extract files in an archive"
222,TASKLIST,List running applications and services
223,TASKKILL,End a running process
224,TELNET,Communicate with another host using the TELNET protocol
225,TIME,Display or set the system timeʥ
226,TIMEOUT,Delay processing of a batch file/command
227,TITLE,Set the window title for a CMD.EXE sessionʥ
228,TLIST,Task list with full path
229,TOUCH,Change file timestamps
230,TRACERT,Trace route to a remote host
231,TREE,Graphical display of folder structure
232,TSDISCON,Disconnect a Remote Desktop Session
233,TSKILL,End a running process
234,TYPE,Display the contents of a text fileʥ
235,TypePerf,Write Performance Monitor data to a log file
236,TZUTIL,Time Zone Utility
237,VBC,Visual Basic compiler
238,VER,Display version informationʥ
239,VERIFY,Verify that files have been savedʥ
240,VMConnect,Connect to a Hyper-V Virtual Machine
241,VOL,Display a disk labelʥ
242,VSSADMIN,Display volume shadow copy backups + writers/providers
243,W32TM,Time Service
244,WAITFOR,Wait for or send a signal
245,WBADMIN,Windows Backup Admin
246,WECUTIL,Windows Event Collector Utility
247,WEVTUTIL,"Clear event logs, enable/disable/query logs"
248,WHERE,Locate and display files in a directory tree
249,WHOAMI,Output the current UserName and domain
250,WHOIS,Lookup the registration record for a domain
251,WINDIFF,Compare the contents of two files or sets of files
252,WINGET,Windows Package Manager (coming May 2021)
253,WINMGMT,Manage the  WMI service/WMI repository
254,WINRM,Windows Remote Management
255,WINRS,Windows Remote Shell
256,WMIC,WMI Commands
257,WPEUTIL,Run Preinstallation Environment (WinPE) commands
258,WPR,Windows Performance Recorder
259,WT,Windows Terminal
260,WUSA,Windows Update Standalone Installer
261,WUAUCLT,Windows Update
262,XCACLS,Change file and folder permissions
263,XCOPY,Copy files and folders
264,::,Comment / Remarkʥ
